file,vowel,speaker,dur,f0,f1,f2
m01ae,ae,m,323,174,663,2012
m02ae,ae,m,250,102,628,1871
m03ae,ae,m,344,99,605,1812
m04ae,ae,m,312,124,627,1910
m06ae,ae,m,254,115,647,1864
m07ae,ae,m,254,96,582,1999
m08ae,ae,m,289,122,602,1880
m09ae,ae,m,339,120,545,1872
m10ae,ae,m,282,153,552,2027
m11ae,ae,m,319,136,629,1871
m13ae,ae,m,279,100,685,1807
m14ae,ae,m,272,106,559,1983
m16ae,ae,m,212,138,544,1819
m17ae,ae,m,257,135,685,1592
m18ae,ae,m,264,133,514,2031
m19ae,ae,m,244,149,612,1937
m20ae,ae,m,286,140,544,2114
m21ae,ae,m,252,108,556,1854
m22ae,ae,m,249,119,619,2023
m23ae,ae,m,274,112,601,1997
m24ae,ae,m,270,120,572,2072
m25ae,ae,m,301,115,546,1820
m26ae,ae,m,259,120,562,1895
m27ae,ae,m,257,105,594,2000
m28ae,ae,m,212,131,662,1934
m29ae,ae,m,241,114,566,2041
m30ae,ae,m,302,96,559,1873
m31ae,ae,m,208,143,579,1982
m32ae,ae,m,208,149,623,1937
m33ae,ae,m,328,136,555,1996
m34ae,ae,m,267,129,555,1849
m35ae,ae,m,326,110,634,1730
m36ae,ae,m,270,121,570,1856
m37ae,ae,m,207,130,614,1768
m38ae,ae,m,213,131,553,2140
m39ae,ae,m,311,153,605,2002
m40ae,ae,m,273,140,597,1989
m41ae,ae,m,230,139,561,1772
m42ae,ae,m,334,128,615,1885
m44ae,ae,m,276,98,577,1952
m45ae,ae,m,283,187,629,2436
m47ae,ae,m,292,129,511,1811
m48ae,ae,m,245,119,590,1830
m49ae,ae,m,266,123,622,1957
m50ae,ae,m,289,116,565,2055
w01ae,ae,w,305,225,678,2293
w02ae,ae,w,486,214,624,2442
w03ae,ae,w,293,192,666,2370
w04ae,ae,w,353,233,743,2230
w05ae,ae,w,338,223,677,2320
w06ae,ae,w,362,223,627,2266
w07ae,ae,w,313,176,690,2327
w08ae,ae,w,284,238,658,2650
w09ae,ae,w,253,251,685,2299
w10ae,ae,w,356,227,621,2249
w11ae,ae,w,385,188,868,2004
w12ae,ae,w,355,229,682,2486
w13ae,ae,w,315,237,668,2252
w14ae,ae,w,272,214,726,2350
w15ae,ae,w,400,226,620,2316
w16ae,ae,w,356,202,634,2596
w17ae,ae,w,323,212,672,2145
w19ae,ae,w,363,237,698,2339
w20ae,ae,w,307,187,586,2299
w21ae,ae,w,382,217,616,2156
w22ae,ae,w,338,186,576,2429
w23ae,ae,w,365,213,674,2256
w24ae,ae,w,331,248,738,2378
w25ae,ae,w,461,220,646,2406
w26ae,ae,w,346,168,746,1944
w27ae,ae,w,272,246,734,2518
w28ae,ae,w,260,225,662,2276
