"f0","spl"
202.373,72.299
197.333,60.884
199.285,55.166
199.17,51.452
199.679,50.515
202.742,50.015
200.276,49.225
200.021,47.035
200.472,71.445
202.837,64.782
200.182,61.616
200.235,55.664
200.886,53.452
199.565,49.804
199.841,50.869
144.413,67.033
145.084,58.286
144.075,56.283
143.556,52.202
144.127,51.245
146.893,47.885
145.704,46.082
146.844,46.464
145.608,66.43
146.484,59.023
143.03,53.493
142.403,53.07
147.081,49.598
143.985,48.002
145.697,47.281
146.302,47.66
313.178,81.774
311.002,75.183
307.074,66.649
304.846,65.863
308.975,64.298
308.069,63.13
304.638,61.356
305.852,58.834
312.661,77.054
308.811,70.199
309.011,67.707
312.42,64.951
310.101,61.978
305.855,61.261
305.894,61.489
178.459,65.989
183.728,64.736
178.124,63.049
186.209,60.582
190.688,60.938
188.043,55.617
190.601,54.401
189.947,65.364
186.106,62.811
185.245,61.971
185.931,60.579
189.111,55.774
193.897,52.63
188.678,51.726
127.162,58.122
124.864,58.027
125.178,57.509
124.299,56.902
120.927,55.721
120.867,52.654
123.614,50.405
125.322,49.854
125.419,56.337
125.506,55.765
123.744,54.414
121.138,51.587
123.352,51.904
124.422,46.641
127.988,47.216
125.863,45.572
258.219,67.983
260.008,62.896
262.88,62.977
263.735,61.157
268.73,62.097
260.208,60.91
261.42,61.864
254.251,58.39
258.799,67.724
259.258,66.704
257.313,64.945
263.327,63.056
253.497,60.995
260.353,57.965
284.75,51.228
211.223,55.314
218.345,69.687
216.209,68.514
223.971,68.44
218.543,62.848
216.071,61.483
220.954,61.605
218.017,61.828
221.088,61.488
219.442,70.637
221.263,70.422
225.212,66.238
224.658,63.716
219.303,60.912
216.719,63.078
226.388,63.061
230.92,61.735
165.717,67.375
167.521,65.729
167.95,66.888
164.002,64.375
165.525,65.315
166.685,65.351
163.483,62.544
172.374,60.594
168.267,68.134
167.769,67.935
166.304,66.809
167.013,66.174
166.878,64.961
170.383,63.467
172.378,63.546
168.663,62.226
275.929,74.723
285.985,75.349
286.794,74.509
284.026,73.364
284.438,69.642
283.865,63.507
282.52,62.531
287.262,64.85
296.655,78.097
295.648,75.654
295.633,74.581
280.317,71.094
282.816,69.454
285.232,67.555
285.232,62.516
