L1,C,L1L2,L2,AaA,LoR,Edu.day,Sex,Family,ISO639.3,Enroll,Speaking,morph,lex,new_feat,new_sounds,NotMono
Albanian,Albania,AlbanianEnglish,English,27,2,4,Female,Indo-European,sqi,78,557,0.0412,0.595079,11,21,TRUE
Albanian,Yugoslavia,AlbanianCroatian,Croatian,35,4,4,Female,Indo-European,sqi,85,460,0.0412,0.595079,11,21,TRUE
Albanian,Yugoslavia,AlbanianEnglish,English,17,3,2,Female,Indo-European,sqi,85,560,0.0412,0.595079,11,21,TRUE
Albanian,Albania,AlbanianMonolingual,Monolingual,33,3,3,Male,Indo-European,sqi,78,458,0.0412,0.595079,11,21,FALSE
Albanian,Yugoslavia,AlbanianEnglish,English,19,6,3,Male,Indo-European,sqi,85,529,0.0412,0.595079,11,21,TRUE
Albanian,Albania,AlbanianEnglish,English,21,2,3,Female,Indo-European,sqi,78,542,0.0412,0.595079,11,21,TRUE
Albanian,Albania,AlbanianItalian,Italian,33,1,3,Male,Indo-European,sqi,78,508,0.0412,0.595079,11,21,TRUE
Albanian,Albania,AlbanianItalian,Italian,25,8,3,Male,Indo-European,sqi,78,532,0.0412,0.595079,11,21,TRUE
Albanian,Yugoslavia,AlbanianMonolingual,Monolingual,25,16,2,Female,Indo-European,sqi,85,508,0.0412,0.595079,11,21,FALSE
Albanian,Yugoslavia,AlbanianMonolingual,Monolingual,16,5,2,Male,Indo-European,sqi,85,517,0.0412,0.595079,11,21,FALSE
Amharic,Ethiopia,AmharicEnglish,English,28,5,3,Male,Afro-Asiatic,amh,25,490,0.0657,0.595079,18,19,TRUE
Amharic,Ethiopia,AmharicEnglish,English,29,5,4,Female,Afro-Asiatic,amh,25,527,0.0657,0.595079,18,19,TRUE
Amharic,Ethiopia,AmharicEnglish,English,39,1,4,Male,Afro-Asiatic,amh,25,497,0.0657,0.595079,18,19,TRUE
Amharic,Ethiopia,AmharicEnglish,English,16,5,3,Male,Afro-Asiatic,amh,25,482,0.0657,0.595079,18,19,TRUE
Amharic,Ethiopia,AmharicEnglish,English,37,4,4,Male,Afro-Asiatic,amh,25,477,0.0657,0.595079,18,19,TRUE
Amharic,Ethiopia,AmharicEnglish,English,28,3,4,Male,Afro-Asiatic,amh,25,451,0.0657,0.595079,18,19,TRUE
Amharic,Ethiopia,AmharicEnglish,English,27,3,4,Male,Afro-Asiatic,amh,25,511,0.0657,0.595079,18,19,TRUE
Amharic,Ethiopia,AmharicEnglish,English,18,12,3,Female,Afro-Asiatic,amh,25,473,0.0657,0.595079,18,19,TRUE
Amharic,Ethiopia,AmharicEnglish,English,22,3,3,Female,Afro-Asiatic,amh,25,499,0.0657,0.595079,18,19,TRUE
Amharic,Ethiopia,AmharicEnglish,English,28,5,3,Male,Afro-Asiatic,amh,25,466,0.0657,0.595079,18,19,TRUE
Arabic,Iraq,ArabicEnglish,English,34,2,4,Male,Afro-Asiatic,ara,47,527,0.0638,0.595079,21,24,TRUE
Arabic,Iraq,ArabicRussian,Russian,33,3,4,Male,Afro-Asiatic,ara,47,429,0.0638,0.595079,21,24,TRUE
Arabic,Iraq,ArabicEnglish,English,25,3,4,Male,Afro-Asiatic,ara,47,502,0.0638,0.595079,21,24,TRUE
Arabic,Iraq,ArabicEnglish,English,36,3,4,Male,Afro-Asiatic,ara,47,479,0.0638,0.595079,21,24,TRUE
Arabic,Syria,ArabicMonolingual,Monolingual,22,2,1,Female,Afro-Asiatic,ara,67,604,0.0638,0.595079,21,24,FALSE
Arabic,Morocco,ArabicSpanish,Spanish,22,3,3,Male,Afro-Asiatic,ara,49,466,0.0638,0.595079,21,24,TRUE
Arabic,Morocco,ArabicFrench,French,35,5,3,Male,Afro-Asiatic,ara,49,530,0.0638,0.595079,21,24,TRUE
Arabic,Morocco,ArabicFrench,French,27,1,1,Male,Afro-Asiatic,ara,49,461,0.0638,0.595079,21,24,TRUE
Arabic,Morocco,ArabicEnglish,English,19,10,4,Female,Afro-Asiatic,ara,49,489,0.0638,0.595079,21,24,TRUE
Arabic,Morocco,ArabicFrench,French,22,0,3,Male,Afro-Asiatic,ara,49,496,0.0638,0.595079,21,24,TRUE
Armenian,Iraq,ArmenianEnglish,English,12,11,1,Female,Indo-European,hye,47,560,0.0298,0.492995,21,23,TRUE
Armenian,Armenia,ArmenianRussian,Russian,26,8,1,Female,Indo-European,hye,88,507,0.0298,0.492995,21,23,TRUE
Armenian,USSR,ArmenianRussian,Russian,24,6,3,Male,Indo-European,hye,90,501,0.0298,0.492995,21,23,TRUE
Armenian,Armenia,ArmenianEnglish,English,23,4,3,Female,Indo-European,hye,88,495,0.0298,0.492995,21,23,TRUE
Armenian,Azerbaijan,ArmenianRussian,Russian,25,9,2,Female,Indo-European,hye,84,552,0.0298,0.492995,21,23,TRUE
Armenian,USSR,ArmenianEnglish,English,34,4,4,Female,Indo-European,hye,90,538,0.0298,0.492995,21,23,TRUE
Armenian,Turkey,ArmenianRussian,Russian,22,10,1,Female,Indo-European,hye,79,526,0.0298,0.492995,21,23,TRUE
Armenian,Iran,ArmenianPersian,Persian,25,4,3,Female,Indo-European,hye,77,474,0.0298,0.492995,21,23,TRUE
Armenian,Armenia,ArmenianGerman,German,31,1,3,Female,Indo-European,hye,88,512,0.0298,0.492995,21,23,TRUE
Armenian,USSR,ArmenianTurkish,Turkish,17,4,2,Female,Indo-European,hye,90,525,0.0298,0.492995,21,23,TRUE
Bosnian,BosniaandHerzegovina,BosnianGerman,German,27,2,4,Female,Indo-European,bos,91,512,0.0638,0.395005,11,19,TRUE
Bosnian,BosniaandHerzegovina,BosnianEnglish,English,24,2,3,Female,Indo-European,bos,91,493,0.0638,0.395005,11,19,TRUE
Bosnian,BosniaandHerzegovina,BosnianEnglish,English,29,16,3,Male,Indo-European,bos,91,523,0.0638,0.395005,11,19,TRUE
Bosnian,BosniaandHerzegovina,BosnianMonolingual,Monolingual,22,2,3,Male,Indo-European,bos,91,525,0.0638,0.395005,11,19,FALSE
Bosnian,BosniaandHerzegovina,BosnianEnglish,English,8,12,3,Female,Indo-European,bos,91,533,0.0638,0.395005,11,19,TRUE
Bosnian,BosniaandHerzegovina,BosnianRussian,Russian,25,10,3,Female,Indo-European,bos,91,568,0.0638,0.395005,11,19,TRUE
Bosnian,BosniaandHerzegovina,BosnianGerman,German,26,1,3,Female,Indo-European,bos,91,602,0.0638,0.395005,11,19,TRUE
Bosnian,BosniaandHerzegovina,BosnianEnglish,English,28,1,4,Female,Indo-European,bos,91,549,0.0638,0.395005,11,19,TRUE
Bosnian,BosniaandHerzegovina,BosnianMonolingual,Monolingual,37,13,3,Female,Indo-European,bos,91,511,0.0638,0.395005,11,19,FALSE
Bosnian,BosniaandHerzegovina,BosnianEnglish,English,24,3,4,Male,Indo-European,bos,91,512,0.0638,0.395005,11,19,TRUE
Bulgarian,Bulgaria,BulgarianEnglish,English,21,3,2,Female,Indo-European,bul,90,549,0.0642,0.411091,12,21,TRUE
Bulgarian,Bulgaria,BulgarianEnglish,English,19,2,3,Female,Indo-European,bul,90,529,0.0642,0.411091,12,21,TRUE
Bulgarian,Bulgaria,BulgarianEnglish,English,30,1,4,Female,Indo-European,bul,90,523,0.0642,0.411091,12,21,TRUE
Bulgarian,Bulgaria,BulgarianEnglish,English,42,3,3,Female,Indo-European,bul,90,480,0.0642,0.411091,12,21,TRUE
Bulgarian,Bulgaria,BulgarianEnglish,English,34,4,4,Female,Indo-European,bul,90,567,0.0642,0.411091,12,21,TRUE
Bulgarian,Bulgaria,BulgarianMonolingual,Monolingual,31,2,3,Male,Indo-European,bul,90,599,0.0642,0.411091,12,21,FALSE
Bulgarian,Bulgaria,BulgarianGerman,German,39,3,4,Female,Indo-European,bul,90,460,0.0642,0.411091,12,21,TRUE
