"satisfaction","unemployment","expectancy","wealth","water"
7.3,1.08,82.1,47657,91
6.9,1.19,81,49887,94
6.9,3.88,80.5,83876,87
7,1.97,73.7,6844,72
7.3,0.9,81.5,67913,91
6.7,1.59,78.9,17733,73
6.5,3.12,78.2,17299,85
7.5,1.78,80.1,44488,94
5.6,3.82,76.5,7680,79
7.4,1.73,80.7,18761,94
6.5,3.99,82.1,48741,82
7,2.37,81,50394,95
4.8,18.39,80.7,14579,69
4.9,5.1,75.2,13277,77
7.5,1.18,83,43045,97
7,8.39,81,31580,80
7.4,0.79,81.8,52933,68
6,6.94,82.3,54987,71
5.9,1.67,83.2,86764,85
5.8,0.01,81.3,29091,78
6.9,1.78,81.5,61765,86
6.7,0.08,74.6,9056,67
7.3,2.4,81.2,77961,92
7.3,0.75,81.5,28290,89
7.4,0.32,81.5,8797,94
6.6,2.79,79.6,67139,81
5.8,3.77,76.9,10919,79
5.1,9.11,80.5,31245,86
6,1.7,70.2,3412,56
6.1,9.46,76.2,8663,81
5.7,5.15,80.2,18465,88
6.5,12.96,82.5,24774,71
7.2,1.37,81.8,60328,95
7.5,1.46,82.8,108823,96
5.6,2.37,74.6,3251,62
6.8,2.77,81,60778,88
7.2,1.91,78.7,145769,85
