student_id,gender,age,math_score,english_score,study_hours,absences,grade
1,M,15,85,78,4.5,2,A
2,F,16,92,88,6.0,1,A
3,M,15,70,65,2.0,5,C
4,F,14,65,72,1.5,4,C
5,M,16,95,90,7.0,0,A
6,F,15,88,82,5.5,2,B
7,M,14,50,55,0.5,8,D
8,F,16,78,80,3.0,3,B
9,M,15,82,75,4.0,2,B
10,F,14,60,68,1.0,6,D
11,M,16,75,70,2.5,4,C
12,F,15,90,85,5.0,1,A
13,M,14,55,60,1.0,7,D
14,F,16,86,83,5.0,2,B
15,M,15,79,73,3.5,3,B
16,F,14,45,50,0.5,9,F
17,M,16,83,77,4.0,2,B
18,F,15,71,69,2.0,5,C
19,M,14,68,66,1.5,6,C
20,F,16,89,84,5.5,1,A
